experiment,device,model,condition,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct
E6,device1,tinyllama,cold,1,10.6818,4318.04,80,7.49,1380.5,41.7
E6,device1,tinyllama,cold,2,10.0192,2888.94,80,7.98,1392.6,44.2
E6,device1,tinyllama,cold,3,8.0844,1805.15,80,9.9,1393.4,43.9
E6,device1,tinyllama,cold,4,6.5744,1762.54,80,12.17,1404.5,41.9
E6,device1,tinyllama,cold,5,9.3942,1751.7,80,8.52,1401.8,43.8
E6,device1,tinyllama,warm,1,9.2148,3390.22,80,8.68,1420.2,43.3
E6,device1,tinyllama,warm,2,6.7372,178.35,80,11.87,1421.6,48.1
E6,device1,tinyllama,warm,3,5.1526,164.03,80,15.53,1426.3,48.5
E6,device1,tinyllama,warm,4,6.5736,157.07,80,12.17,1424.7,48.3
E6,device1,tinyllama,warm,5,5.4418,189.28,80,14.7,1425.1,48.3
E6,device1,tinyllama,warm,6,7.9412,171.67,80,10.07,1428.6,47.9
E6,device1,tinyllama,warm,7,5.1851,167.69,80,15.43,1427.4,47.8
E6,device1,tinyllama,warm,8,5.3367,175.7,80,14.99,1429.9,48.3
E6,device1,tinyllama,warm,9,7.5915,197.93,80,10.54,1432.2,48.1
E6,device1,tinyllama,warm,10,5.3003,165.17,80,15.09,1428.9,48.0
E6,device1,tinyllama,warm,11,6.4795,410.69,80,12.35,1430.8,48.4
E6,device1,tinyllama,warm,12,5.96,161.44,80,13.42,1430.0,48.4
E6,device1,tinyllama,warm,13,6.7848,171.92,80,11.79,1432.3,48.1
E6,device1,tinyllama,warm,14,5.3877,186.82,80,14.85,1431.3,47.8
E6,device1,tinyllama,warm,15,5.2894,169.59,80,15.12,1429.3,48.0
E6,device1,tinyllama,warm,16,7.6301,239.21,80,10.48,1432.2,47.5
E6,device1,tinyllama,warm,17,6.0239,164.49,80,13.28,1431.7,48.2
E6,device1,tinyllama,warm,18,7.0872,186.8,80,11.29,1431.7,48.0
E6,device1,tinyllama,warm,19,6.5883,171.2,80,12.14,1432.5,48.1
E6,device1,tinyllama,warm,20,5.701,152.97,80,14.03,1431.9,47.8
E6,device1,phi3:mini,cold,1,32.3322,13444.22,80,2.47,3601.8,37.5
E6,device1,phi3:mini,cold,2,31.0428,6563.96,80,2.58,3604.0,44.3
E6,device1,phi3:mini,cold,3,19.5349,4124.84,80,4.1,3604.8,43.3
E6,device1,phi3:mini,cold,4,19.2081,3550.36,80,4.16,3603.7,44.4
E6,device1,phi3:mini,cold,5,17.4531,3336.88,80,4.58,3607.2,44.5
E6,device1,phi3:mini,warm,1,28.8562,5950.83,80,2.77,4360.1,45.4
E6,device1,phi3:mini,warm,2,16.7904,266.67,80,4.76,3591.8,49.6
E6,device1,phi3:mini,warm,3,18.8421,199.66,80,4.25,3593.8,49.7
E6,device1,phi3:mini,warm,4,16.2964,259.64,80,4.91,3594.7,49.7
E6,device1,phi3:mini,warm,5,15.6484,223.01,80,5.11,3596.2,49.5
E6,device1,phi3:mini,warm,6,17.9556,260.25,80,4.46,3597.2,49.6
E6,device1,phi3:mini,warm,7,15.1749,234.97,80,5.27,3597.4,49.7
E6,device1,phi3:mini,warm,8,15.0831,221.94,80,5.3,3596.1,49.8
E6,device1,phi3:mini,warm,9,15.8528,213.28,80,5.05,3597.5,49.5
E6,device1,phi3:mini,warm,10,17.0531,258.54,80,4.69,3598.2,49.8
E6,device1,phi3:mini,warm,11,15.8298,247.12,80,5.05,3598.4,49.5
E6,device1,phi3:mini,warm,12,14.4126,239.14,80,5.55,3599.8,49.6
E6,device1,phi3:mini,warm,13,15.0259,215.2,80,5.32,3601.2,49.4
E6,device1,phi3:mini,warm,14,14.3743,243.17,80,5.57,3600.5,49.7
E6,device1,phi3:mini,warm,15,14.394,227.25,80,5.56,3600.5,49.9
E6,device1,phi3:mini,warm,16,14.4116,229.03,80,5.55,3600.0,49.6
E6,device1,phi3:mini,warm,17,14.2463,235.36,80,5.62,3599.5,49.7
E6,device1,phi3:mini,warm,18,15.3856,253.67,80,5.2,3597.9,49.7
E6,device1,phi3:mini,warm,19,13.8881,244.52,80,5.76,3598.4,49.7
E6,device1,phi3:mini,warm,20,14.0538,224.17,80,5.69,3599.3,49.6
E6,device1,qwen2.5:3b,cold,1,16.2105,5754.65,80,4.94,2746.3,38.6
E6,device1,qwen2.5:3b,cold,2,17.5829,5256.95,80,4.55,2780.8,39.5
E6,device1,qwen2.5:3b,cold,3,26.7024,8498.95,80,3.0,2782.8,41.2
E6,device1,qwen2.5:3b,cold,4,16.2695,4114.73,80,4.92,2789.5,43.8
E6,device1,qwen2.5:3b,cold,5,15.8071,4742.96,80,5.06,2788.7,40.8
E6,device1,qwen2.5:3b,warm,1,16.7424,5062.73,80,4.78,2860.9,43.2
E6,device1,qwen2.5:3b,warm,2,11.3882,407.0,80,7.02,2841.1,48.0
E6,device1,qwen2.5:3b,warm,3,11.1108,362.9,80,7.2,2844.8,48.7
E6,device1,qwen2.5:3b,warm,4,11.1645,356.38,80,7.17,2846.0,48.0
E6,device1,qwen2.5:3b,warm,5,12.7943,393.25,80,6.25,2846.4,47.9
E6,device1,qwen2.5:3b,warm,6,15.1467,376.8,80,5.28,2848.1,48.4
E6,device1,qwen2.5:3b,warm,7,12.7748,461.03,80,6.26,2849.9,48.1
E6,device1,qwen2.5:3b,warm,8,11.4457,680.75,80,6.99,2855.7,46.9
E6,device1,qwen2.5:3b,warm,9,12.399,355.48,80,6.45,2858.1,48.2
E6,device1,qwen2.5:3b,warm,10,14.582,380.42,80,5.49,2858.9,48.4
E6,device1,qwen2.5:3b,warm,11,12.7322,402.36,80,6.28,2861.2,48.0
E6,device1,qwen2.5:3b,warm,12,11.2004,381.0,80,7.14,2860.4,48.2
E6,device1,qwen2.5:3b,warm,13,11.1437,364.47,80,7.18,2860.1,48.5
E6,device1,qwen2.5:3b,warm,14,11.2502,397.87,80,7.11,2863.3,48.1
E6,device1,qwen2.5:3b,warm,15,11.584,457.7,80,6.91,2862.8,47.8
E6,device1,qwen2.5:3b,warm,16,11.6793,393.82,80,6.85,2864.4,48.2
E6,device1,qwen2.5:3b,warm,17,10.8447,368.34,80,7.38,2867.4,48.5
E6,device1,qwen2.5:3b,warm,18,11.256,402.67,80,7.11,2869.3,48.0
E6,device1,qwen2.5:3b,warm,19,12.4523,352.93,80,6.42,2869.4,48.2
E6,device1,qwen2.5:3b,warm,20,11.7584,525.48,80,6.8,2870.4,48.1
E6,device1,mistral:7b,cold,1,49.6797,22197.11,80,1.61,5210.8,33.4
E6,device1,mistral:7b,cold,2,32.5041,9731.63,80,2.46,5214.4,41.1
E6,device1,mistral:7b,cold,3,34.3594,7698.2,80,2.33,5200.8,44.4
E6,device1,mistral:7b,cold,4,34.5065,8869.45,80,2.32,5204.5,43.4
E6,device1,mistral:7b,cold,5,31.2678,8480.0,80,2.56,5115.7,41.6
E6,device1,mistral:7b,warm,1,29.9846,7491.32,80,2.67,5455.2,43.1
E6,device1,mistral:7b,warm,2,24.6386,367.83,80,3.25,5196.3,50.0
E6,device1,mistral:7b,warm,3,23.5733,363.25,80,3.39,5199.3,49.9
E6,device1,mistral:7b,warm,4,28.2829,332.53,80,2.83,5203.1,50.2
E6,device1,mistral:7b,warm,5,24.6205,747.26,80,3.25,5207.6,49.9
E6,device1,mistral:7b,warm,6,24.2601,355.91,80,3.3,5209.8,50.2
E6,device1,mistral:7b,warm,7,24.862,360.28,80,3.22,5211.6,49.8
E6,device1,mistral:7b,warm,8,22.2524,347.85,80,3.6,5214.5,49.8
E6,device1,mistral:7b,warm,9,26.4644,338.17,80,3.02,5213.1,50.0
E6,device1,mistral:7b,warm,10,22.5771,316.82,80,3.54,5215.3,49.9
E6,device1,mistral:7b,warm,11,22.5413,363.26,80,3.55,5217.0,49.9
E6,device1,mistral:7b,warm,12,24.7108,550.82,80,3.24,5217.0,49.9
E6,device1,mistral:7b,warm,13,21.9525,334.37,80,3.64,5217.5,50.1
E6,device1,mistral:7b,warm,14,23.099,326.8,80,3.46,5216.5,49.9
E6,device1,mistral:7b,warm,15,21.8583,317.01,80,3.66,5216.9,50.0
E6,device1,mistral:7b,warm,16,22.1172,335.8,80,3.62,5217.1,49.9
E6,device1,mistral:7b,warm,17,22.3625,360.92,80,3.58,5216.5,50.0
E6,device1,mistral:7b,warm,18,25.3126,322.11,80,3.16,5215.8,49.8
E6,device1,mistral:7b,warm,19,40.7056,397.94,80,1.97,5215.7,49.5
E6,device1,mistral:7b,warm,20,31.1121,919.22,80,2.57,5215.6,49.7
