experiment,device,model,condition,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct
E6,device3,tinyllama,cold,1,2.5531,2008.94,80,31.34,820.8,6.0
E6,device3,tinyllama,cold,2,2.0238,1484.64,80,39.53,826.6,6.0
E6,device3,tinyllama,cold,3,2.3895,1849.29,80,33.48,834.6,5.5
E6,device3,tinyllama,cold,4,2.0286,1486.35,80,39.44,841.0,6.0
E6,device3,tinyllama,cold,5,2.09,1549.69,80,38.28,841.2,5.9
E6,device3,tinyllama,warm,1,3.0606,2513.4,80,26.14,959.8,5.1
E6,device3,tinyllama,warm,2,0.5823,48.72,80,137.39,853.4,8.5
E6,device3,tinyllama,warm,3,0.575,41.44,80,139.12,853.4,8.5
E6,device3,tinyllama,warm,4,0.5868,53.36,80,136.34,853.1,8.6
E6,device3,tinyllama,warm,5,0.5682,38.61,80,140.8,855.7,8.6
E6,device3,tinyllama,warm,6,0.5784,43.92,80,138.31,856.3,8.3
E6,device3,tinyllama,warm,7,0.5764,44.15,80,138.79,856.6,8.8
E6,device3,tinyllama,warm,8,0.5777,46.01,80,138.49,856.6,8.8
E6,device3,tinyllama,warm,9,0.5749,41.8,80,139.15,856.3,8.7
E6,device3,tinyllama,warm,10,0.5763,44.84,80,138.82,859.3,8.7
E6,device3,tinyllama,warm,11,0.5725,44.66,80,139.73,859.9,8.8
E6,device3,tinyllama,warm,12,0.5739,44.02,80,139.41,861.5,8.2
E6,device3,tinyllama,warm,13,0.575,41.74,80,139.13,863.3,9.0
E6,device3,tinyllama,warm,14,0.5692,40.4,80,140.55,864.2,8.7
E6,device3,tinyllama,warm,15,0.5741,42.18,80,139.34,866.2,8.6
E6,device3,tinyllama,warm,16,0.5755,45.37,80,139.01,866.2,8.8
E6,device3,tinyllama,warm,17,0.5741,44.32,80,139.34,865.2,8.8
E6,device3,tinyllama,warm,18,0.5769,44.58,80,138.67,865.0,8.5
E6,device3,tinyllama,warm,19,0.5731,39.83,80,139.59,863.9,8.7
E6,device3,tinyllama,warm,20,0.5711,38.64,80,140.09,866.5,8.5
E6,device3,phi3:mini,cold,1,5.7551,4059.83,80,13.9,870.4,5.6
E6,device3,phi3:mini,cold,2,3.6836,1983.84,80,21.72,878.3,6.9
E6,device3,phi3:mini,cold,3,3.6423,1942.69,80,21.96,878.6,6.7
E6,device3,phi3:mini,cold,4,3.6742,1978.16,80,21.77,884.8,6.6
E6,device3,phi3:mini,cold,5,3.7066,2010.52,80,21.58,887.8,6.7
E6,device3,phi3:mini,warm,1,4.1733,2476.69,80,19.17,1315.3,6.5
E6,device3,phi3:mini,warm,2,1.75,51.78,80,45.71,893.3,8.4
E6,device3,phi3:mini,warm,3,1.7419,52.65,80,45.93,894.0,8.3
E6,device3,phi3:mini,warm,4,1.7382,48.02,80,46.02,894.0,8.4
E6,device3,phi3:mini,warm,5,1.7399,50.26,80,45.98,895.5,8.3
E6,device3,phi3:mini,warm,6,1.7489,58.82,80,45.74,896.2,8.3
E6,device3,phi3:mini,warm,7,1.737,44.69,80,46.06,897.6,8.5
E6,device3,phi3:mini,warm,8,1.7426,50.33,80,45.91,898.2,8.2
E6,device3,phi3:mini,warm,9,1.7439,48.69,80,45.87,898.3,8.4
E6,device3,phi3:mini,warm,10,1.7455,49.92,80,45.83,898.8,8.3
E6,device3,phi3:mini,warm,11,1.7496,58.6,80,45.73,900.0,8.5
E6,device3,phi3:mini,warm,12,1.7319,40.81,80,46.19,900.5,8.3
E6,device3,phi3:mini,warm,13,1.7401,45.31,80,45.97,901.0,8.3
E6,device3,phi3:mini,warm,14,1.7522,56.9,80,45.66,901.1,8.3
E6,device3,phi3:mini,warm,15,1.7399,46.65,80,45.98,903.0,8.4
E6,device3,phi3:mini,warm,16,1.7413,48.95,80,45.94,903.5,8.5
E6,device3,phi3:mini,warm,17,1.7464,52.16,80,45.81,903.5,8.4
E6,device3,phi3:mini,warm,18,1.7432,47.35,80,45.89,903.3,8.4
E6,device3,phi3:mini,warm,19,1.7494,54.93,80,45.73,903.2,8.4
E6,device3,phi3:mini,warm,20,1.7491,55.9,80,45.74,903.2,8.3
E6,device3,qwen2.5:3b,cold,1,10.6741,10673.98,0,0.0,950.5,4.0
E6,device3,qwen2.5:3b,cold,2,34.3703,34370.19,0,0.0,1028.6,1.4
E6,device3,qwen2.5:3b,cold,3,10.1212,10121.04,0,0.0,1000.4,1.0
E6,device3,qwen2.5:3b,cold,4,8.3517,8351.56,0,0.0,1042.9,1.0
E6,device3,qwen2.5:3b,cold,5,10.9014,10901.3,0,0.0,1090.3,0.8
E6,device3,qwen2.5:3b,warm,1,27.066,27066.01,0,0.0,1263.8,0.6
E6,device3,qwen2.5:3b,warm,2,12.7268,12726.77,0,0.0,1178.2,1.1
E6,device3,qwen2.5:3b,warm,3,11.9354,11935.41,0,0.0,1179.8,0.9
E6,device3,qwen2.5:3b,warm,4,46.7284,46728.36,0,0.0,1300.6,1.1
E6,device3,qwen2.5:3b,warm,5,12.7129,12712.93,0,0.0,1255.6,2.3
E6,device3,qwen2.5:3b,warm,6,32.2457,30695.98,80,2.48,1300.4,1.8
E6,device3,qwen2.5:3b,warm,7,1.6563,111.95,80,48.3,1306.5,8.5
E6,device3,qwen2.5:3b,warm,8,6.5113,4959.02,80,12.29,1313.1,2.6
E6,device3,qwen2.5:3b,warm,9,2.5847,1040.92,80,30.95,1311.9,5.6
E6,device3,qwen2.5:3b,warm,10,1.6536,110.11,80,48.38,1307.8,8.4
E6,device3,qwen2.5:3b,warm,11,3.6068,1960.01,80,22.18,1311.9,4.4
E6,device3,qwen2.5:3b,warm,12,1.6563,110.41,80,48.3,1311.9,8.7
E6,device3,qwen2.5:3b,warm,13,1.6657,116.68,80,48.03,1310.6,8.7
E6,device3,qwen2.5:3b,warm,14,3.6589,1998.55,80,21.86,1315.8,5.7
E6,device3,qwen2.5:3b,warm,15,5.5935,3856.27,80,14.3,1318.4,3.0
E6,device3,qwen2.5:3b,warm,16,1.6634,112.78,80,48.09,1317.9,8.6
E6,device3,qwen2.5:3b,warm,17,10.4626,8695.83,80,7.65,1324.5,2.0
E6,device3,qwen2.5:3b,warm,18,4.7021,3145.47,80,17.01,1326.5,3.6
E6,device3,qwen2.5:3b,warm,19,1.6704,122.24,80,47.89,1326.2,8.8
E6,device3,qwen2.5:3b,warm,20,5.5812,3967.69,80,14.33,1330.5,4.7
E6,device3,mistral:7b,cold,1,10.9181,10918.04,0,0.0,1153.8,2.4
E6,device3,mistral:7b,cold,2,7.7484,7748.34,0,0.0,1160.3,0.8
E6,device3,mistral:7b,cold,3,7.6545,7654.44,0,0.0,1167.3,0.7
E6,device3,mistral:7b,cold,4,7.6961,7696.02,0,0.0,1176.6,0.7
E6,device3,mistral:7b,cold,5,7.6772,7677.08,0,0.0,1177.1,0.7
E6,device3,mistral:7b,warm,1,9.3332,9333.22,0,0.0,1182.5,0.6
E6,device3,mistral:7b,warm,2,9.4006,9400.55,0,0.0,1185.3,0.6
E6,device3,mistral:7b,warm,3,12.1992,12199.25,0,0.0,1184.1,0.4
E6,device3,mistral:7b,warm,4,11.4319,11431.93,0,0.0,1184.7,0.4
E6,device3,mistral:7b,warm,5,11.4153,11415.25,0,0.0,1186.4,0.4
E6,device3,mistral:7b,warm,6,9.4111,9411.14,0,0.0,1183.7,0.5
E6,device3,mistral:7b,warm,7,9.3971,9397.07,0,0.0,1186.5,0.6
E6,device3,mistral:7b,warm,8,9.4109,9410.85,0,0.0,1185.1,0.6
E6,device3,mistral:7b,warm,9,9.4149,9414.85,0,0.0,1184.9,0.6
E6,device3,mistral:7b,warm,10,9.4088,9408.83,0,0.0,1190.3,0.5
E6,device3,mistral:7b,warm,11,12.1664,12166.42,0,0.0,1190.4,0.5
E6,device3,mistral:7b,warm,12,9.2833,9283.32,0,0.0,1188.4,0.7
E6,device3,mistral:7b,warm,13,9.4256,9425.58,0,0.0,1199.4,0.5
E6,device3,mistral:7b,warm,14,8.6569,8656.89,0,0.0,1186.5,0.6
E6,device3,mistral:7b,warm,15,9.4295,9429.52,0,0.0,1189.0,0.6
E6,device3,mistral:7b,warm,16,9.3325,9332.52,0,0.0,1190.3,0.6
E6,device3,mistral:7b,warm,17,9.4247,9424.7,0,0.0,1194.1,0.6
E6,device3,mistral:7b,warm,18,9.2841,9284.11,0,0.0,1195.7,0.5
E6,device3,mistral:7b,warm,19,9.4083,9408.34,0,0.0,1194.3,0.5
E6,device3,mistral:7b,warm,20,9.4091,9409.06,0,0.0,1191.0,0.6
